"","appeal","issue","neg","par","opp","id_extr","new","medium","from","as_is","comp_is","date","poll","jor_int","as_is_perc"
"20","Wat is normaal? Kijk als je een laag inkomen hebt of arbeidsongeschikt bent.  speciaal onderwijs nodg hebt.  of als je een huurwoning hebt  dan ben je gewoon niet normaal. Dan zoek je het bij de VVD maar lekker zelf uit","edu",1,"gl",1,2.63,0,"fb","gl",3,5,2017-03-13,317.6,0,"3.9"
"21","Wat is normaal? Kijk als je een laag inkomen hebt of arbeidsongeschikt bent.  speciaal onderwijs nodg hebt.  of als je een huurwoning hebt  dan ben je gewoon niet normaal. Dan zoek je het bij de VVD maar lekker zelf uit","housing",1,"gl",1,2.63,0,"fb","gl",2,1,2017-03-13,317.6,0,"7.69"
"22","Wat is normaal? Kijk als je een laag inkomen hebt of arbeidsongeschikt bent.  speciaal onderwijs nodg hebt.  of als je een huurwoning hebt  dan ben je gewoon niet normaal. Dan zoek je het bij de VVD maar lekker zelf uit","norm",1,"gl",1,2.63,0,"fb","gl",2,10,2017-03-13,317.6,0,"1.5"
"23","En daarom: wij maken het makkelijekr u te ontslaan","jobs",1,"gl",1,2.63,0,"fb","gl",3,6,2017-03-13,317.6,0,"7.5"
"24","Wij verlagen uw uitkering.","social",1,"gl",1,2.63,0,"fb","gl",10,10,2017-03-13,317.6,0,"11.9"
"25","Wij verlagen uw zorgtoeslagen","social",1,"gl",1,2.63,0,"fb","gl",10,10,2017-03-13,317.6,0,"11.9"
"26","Wij verlagen uw huurtoeslag.","social",1,"gl",1,2.63,0,"fb","gl",10,10,2017-03-13,317.6,0,"11.9"
"27","Wij schuiven de vakbonden aan de kant","jobs",1,"gl",1,2.63,0,"fb","gl",3,6,2017-03-13,317.6,0,"7.5"
"28","Want minder voor u  is meer voor ons","econ",1,"gl",1,2.63,0,"fb","gl",2,-3,2017-03-13,317.6,0,"4"
"29","Zo gaan de hoge inkomens er nog iets meer op vooruit en kunnen onze bankiersvrienden hun bonus behouden.","econ",1,"gl",1,2.63,0,"fb","gl",2,-3,2017-03-13,317.6,0,"4"
"30","Onze ambitie is helder: een progressief kabinet na 15 maart. En voor de goede orde  dat is zonder de VVD.","gov",0,"gl",1,2.63,0,"fb","gl",1,1,2017-03-12,317.6,0,"2.44"
"31","Onze ambitie is helder: een progressief kabinet na 15 maart. En voor de goede orde  dat is zonder de VVD.","gov",1,"gl",1,2.63,0,"fb","gl",1,1,2017-03-12,317.6,0,"2.44"
"32","Maak ons de grootste en we zorgen dat Nederland voor het eerst sinds veertig jaar weer een links kabinet krijgt","gov",0,"gl",1,2.63,0,"fb","gl",1,1,2017-03-09,317.6,0,"2.44"
"33","maak ons groter en dan krijgen wij de sleutel in handen voor de formatie van een nieuwwe regering","gov",0,"gl",1,2.63,0,"fb","gl",1,1,2017-03-09,317.6,0,"2.44"
"34","Maak ons de grootste en wij gaan regeren over links.","gov",0,"gl",1,2.63,0,"fb","gl",1,1,2017-03-09,317.6,0,"2.44"
"35","Daarom zei Jesse Klaver vorige week in Leiden dat de helft van de ministers vrouw moet zijn.","norm",0,"gl",1,2.63,0,"fb","gl",2,10,2017-03-08,317.6,0,"1.5"
"36","GroenLinks vecht al jaren tegen stereotype beelden en voor gelijke kansen en vrijheden.","norm",0,"gl",1,2.63,0,"fb","gl",2,10,2017-03-08,317.6,0,"1.5"
"37","Groenlinks wil allen nieuwe voertuigen zo snel mogelijke elektrisch. Fiscale voordelen voor elketrische auto's. Een landelijk dekkend netwerk van laadpalen en snellaadstations.","environ",0,"gl",1,2.63,0,"fb","gl",43,131,2017-03-07,317.6,0,"44.79"
"38","Groenlinks wil allen nieuwe voertuigen zo snel mogelijke elektrisch. Fiscale voordelen voor elketrische auto's. Een landelijk dekkend netwerk van laadpalen en snellaadstations.","environ",0,"gl",1,2.63,0,"fb","gl",43,131,2017-03-07,317.6,0,"44.79"
"39","Groenlinks wil allen nieuwe voertuigen zo snel mogelijke elektrisch. Fiscale voordelen voor elketrische auto's. Een landelijk dekkend netwerk van laadpalen en snellaadstations.","environ",0,"gl",1,2.63,0,"fb","gl",43,131,2017-03-07,317.6,0,"44.79"
"40","groenlinks voert heel veel milieubelasting in  en dat geven wij terug vooral aan het MKB door de lasten op arbied te verlagen","environ",0,"gl",1,2.63,0,"fb","gl",43,131,2017-03-07,317.6,0,"44.79"
"41","groenlinks voert heel veel milieubelasting in  en dat geven wij terug vooral aan het MKB door de lasten op arbied te verlagen","econ",0,"gl",1,2.63,0,"fb","gl",2,-3,2017-03-07,317.6,0,"4"
"42","U zegt we worden het snel eens over het aanpakken van belastingontwijking. IN uw verkiezingsprogramma over hoe we belastingontwijkking gaan aanpakken. Niks nada noppes","econ",1,"gl",1,2.63,0,"fb","gl",2,-3,2017-03-07,317.6,0,"4"
"43","Wat wij doen: wij zorgen dat belastingontwijking keihard wordt aangepakt. Dat levert meer dan twee miljard euro op.  Dat investeren wij een op een in de ouderen zorg  dat zijn 30.000 banen in de zorg erbij.","econ",0,"gl",1,2.63,0,"fb","gl",2,-3,2017-03-07,317.6,0,"4"
"44","Wat wij doen: wij zorgen dat belastingontwijking keihard wordt aangepakt. Dat levert meer dan twee miljard euro op.  Dat investeren wij een op een in de ouderen zorg  dat zijn 30.000 banen in de zorg erbij.","econ",0,"gl",1,2.63,0,"fb","gl",2,-3,2017-03-07,317.6,0,"4"
"45","Wat wij doen: wij zorgen dat belastingontwijking keihard wordt aangepakt. Dat levert meer dan twee miljard euro op.  Dat investeren wij een op een in de ouderen zorg  dat zijn 30.000 banen in de zorg erbij.","health",0,"gl",1,2.63,0,"fb","gl",5,13,2017-03-07,317.6,0,"7.35"
"46","Wat wij doen: wij zorgen dat belastingontwijking keihard wordt aangepakt. Dat levert meer dan twee miljard euro op.  Dat investeren wij een op een in de ouderen zorg  dat zijn 30.000 banen in de zorg erbij.","health",0,"gl",1,2.63,0,"fb","gl",5,13,2017-03-07,317.6,0,"7.35"
"47","Macht terug van brussel naar den haag","eu",0,"fvd",1,4.3,1,"fb","fvd",NA,NA,2017-03-14,NA,0,NA
"48","Minder immigratie","imm",0,"fvd",1,4.3,1,"fb","fvd",NA,NA,2017-03-14,NA,0,NA
"49","Macht terug van brussel naar den haag","eu",0,"fvd",1,4.3,1,"fb","fvd",NA,NA,2017-03-14,NA,0,NA
"50","Minder immigratie","imm",0,"fvd",1,4.3,1,"fb","fvd",NA,NA,2017-03-14,NA,0,NA
"51","Het kabinet Rutte heeft de afgelopen jaren klakkeloos tientallen miljarden aan de EU overgemaakt en ook nog onze €1.300 miljard pensioenspaarpot onder EU-toezicht geplaatst","eu",1,"fvd",1,4.3,1,"fb","fvd",NA,NA,2017-03-13,NA,0,NA
"52","Het kabinet Rutte heeft de afgelopen jaren klakkeloos tientallen miljarden aan de EU overgemaakt en ook nog onze €1.300 miljard pensioenspaarpot onder EU-toezicht geplaatst","eu",1,"fvd",1,4.3,1,"fb","fvd",NA,NA,2017-03-13,NA,0,NA
"53","FVD wil het EU-associatieverdrag met Turkije opzeggen (voor zover dat überhaupt kan) en snel een referendum over het Nederlandse EU-lidmaatschap.","eu",0,"fvd",1,4.3,1,"fb","fvd",NA,NA,2017-03-13,NA,0,NA
"54","FVD wil het EU-associatieverdrag met Turkije opzeggen (voor zover dat überhaupt kan) en snel een referendum over het Nederlandse EU-lidmaatschap.","eu",0,"fvd",1,4.3,1,"fb","fvd",NA,NA,2017-03-13,NA,0,NA
"55","Fvd wil snel een forse uitbreiding van de Nationale Reserve . Onze Nr. 3 Susan Teunissen (Kapitein bij de Landmacht) gaat zich namens FVD inzetten om dit te realiseren in Den Haag.","defence",0,"fvd",1,4.3,1,"fb","fvd",NA,NA,2017-03-12,NA,0,NA
"56","We verdedigen NL cultuur te weinig en daarom komen wij met die wet bescherming Nederlandse waarden.","norm",0,"fvd",1,4.3,1,"fb","fvd",NA,NA,2017-03-11,NA,0,NA
"57","Nederland anno 2017 geregeerd door het partijkartel.","gov",1,"fvd",1,4.3,1,"fb","fvd",NA,NA,2017-03-11,NA,0,NA
"58","k zal me voor forum inzetten om bureaucratie in de zorg terug te dringen  zodat er weer tijd is voor de patient","health",0,"fvd",1,4.3,1,"fb","fvd",NA,NA,2017-03-11,NA,0,NA
"59","Bij forum voor democratie willen we macht van de zorgverzekers inperken zodat er weer meer tijd is voor de patient","health",0,"fvd",1,4.3,1,"fb","fvd",NA,NA,2017-03-11,NA,0,NA
"60","Forum voor Democratie gaat dynamiek samen brengen in de nederlandse politiek en de nederlandse economie","econ",0,"fvd",1,4.3,1,"fb","fvd",NA,NA,2017-03-11,NA,0,NA
"61","Dat doen we door de belastingen sterk te vereenvoudigen en het voor iedereen mogelij kte maken dat we gaan werken en ondernemen","econ",0,"fvd",1,4.3,1,"fb","fvd",NA,NA,2017-03-11,NA,0,NA
"62","Dat doen we door de belastingen sterk te vereenvoudigen en het voor iedereen mogelij kte maken dat we gaan werken en ondernemen","jobs",0,"fvd",1,4.3,1,"fb","fvd",NA,NA,2017-03-11,NA,0,NA
"63","De bestaande nederlandse politieke partijen kunnen nederland niet goed besturen. Nationale soevereniteit staat onder druk  vrijheid van expressie is een probleem geworden","gov",1,"fvd",1,4.3,1,"fb","fvd",NA,NA,2017-03-11,NA,0,NA
"64","De bestaande nederlandse politieke partijen kunnen nederland niet goed besturen. Nationale soevereniteit staat onder druk  vrijheid van expressie is een probleem geworden","norm",1,"fvd",1,4.3,1,"fb","fvd",NA,NA,2017-03-11,NA,0,NA
"65","De bestaande nederlandse politieke partijen kunnen nederland niet goed besturen. Nationale soevereniteit staat onder druk  vrijheid van expressie is een probleem geworden","norm",1,"fvd",1,4.3,1,"fb","fvd",NA,NA,2017-03-11,NA,0,NA
"66","tem #FVD om de massa-immigratie te stoppen en de integratieproblemen nu ECHT aan te pakken.","imm",0,"fvd",1,4.3,1,"fb","fvd",NA,NA,2017-03-10,NA,0,NA
"67","tem #FVD om de massa-immigratie te stoppen en de integratieproblemen nu ECHT aan te pakken.","imm",0,"fvd",1,4.3,1,"fb","fvd",NA,NA,2017-03-10,NA,0,NA
"68","In Nederland lopen diverse oorlogsmisdadigers rond. Aan deze praktijken gaat Forum voor Democratie een einde maken met een aangescherpte immigratie en remigratie-politiek","imm",0,"fvd",1,4.3,1,"fb","fvd",NA,NA,2017-03-09,NA,0,NA
"69","Op 15 maart kiezen we in welke film we in Nederland terecht gaan komen. Wordt het weer dezelfde kartelvertoning   met dezelfde ongeloofwaardige acteurs of gaan we voor iets nieuws?","gov",1,"fvd",1,4.3,1,"fb","fvd",NA,NA,2017-03-08,NA,0,NA
"70","Op woensdag 15 maart reken we af met het partijkartel.","gov",1,"fvd",1,4.3,1,"fb","fvd",NA,NA,2017-03-07,NA,0,NA
"71","Op woensdag 15 maart reken we af met het partijkartel.","gov",0,"fvd",1,4.3,1,"fb","fvd",NA,NA,2017-03-07,NA,0,NA
"72","We zijn in nederland in een situatie beland waarin onze democratie wordt gekortwiekt door politici. Kwesties die er echt toedoen: verdergaande islamisering.  macht van de EU. Euro.   open grenzen. Stuk voor stuk zijn ze onder het tapijt beland.","norm",1,"fvd",1,4.3,1,"fb","fvd",NA,NA,2017-03-07,NA,0,NA
"73","We zijn in nederland in een situatie beland waarin onze democratie wordt gekortwiekt door politici. Kwesties die er echt toedoen: verdergaande islamisering.  macht van de EU. Euro.   open grenzen. Stuk voor stuk zijn ze onder het tapijt beland.","imm",1,"fvd",1,4.3,1,"fb","fvd",NA,NA,2017-03-07,NA,0,NA
"74","We zijn in nederland in een situatie beland waarin onze democratie wordt gekortwiekt door politici. Kwesties die er echt toedoen: verdergaande islamisering.  macht van de EU. Euro.   open grenzen. Stuk voor stuk zijn ze onder het tapijt beland.","eu",1,"fvd",1,4.3,1,"fb","fvd",NA,NA,2017-03-07,NA,0,NA
"75","We zijn in nederland in een situatie beland waarin onze democratie wordt gekortwiekt door politici. Kwesties die er echt toedoen: verdergaande islamisering.  macht van de EU. Euro.   open grenzen. Stuk voor stuk zijn ze onder het tapijt beland.","eu",1,"fvd",1,4.3,1,"fb","fvd",NA,NA,2017-03-07,NA,0,NA
"76","We zijn in nederland in een situatie beland waarin onze democratie wordt gekortwiekt door politici. Kwesties die er echt toedoen: verdergaande islamisering.  macht van de EU. Euro.   open grenzen. Stuk voor stuk zijn ze onder het tapijt beland.","imm",1,"fvd",1,4.3,1,"fb","fvd",NA,NA,2017-03-07,NA,0,NA
"77","Forum voor democratie wil dat deze conspiratie van stilwijzgen door de gevestigde politiek wordt doorbroken","gov",0,"fvd",1,4.3,1,"fb","fvd",NA,NA,2017-03-07,NA,0,NA
"78","Forum voor democratie wil dat deze conspiratie van stilwijzgen door de gevestigde politiek wordt doorbroken","gov",1,"fvd",1,4.3,1,"fb","fvd",NA,NA,2017-03-07,NA,0,NA
"79","DAt betekent dat we willen zorgen dat iedereen kan studeren als die dat in zijn mars heeft","edu",0,"pvda",0,1.36,0,"fb","pvda",2,0,2017-03-14,-70.48,0,"2.6"
"80","We zijn er niet alleen voor ouderen  we zijn geen 50 plus","social",1,"pvda",0,1.36,0,"fb","pvda",29,10,2017-03-14,-70.48,0,"34.53"
"81","We zijn er ook voor de jongeste mensen","norm",0,"pvda",0,1.36,0,"fb","pvda",1,4,2017-03-14,-70.48,0,"0.75"
"82","Waarom PVDA kiezen? Zodat de bouwvakker boven in een kraan niet in een flesje hoeft te pissen  maar gewoon naar beneden kan gaan","social",0,"pvda",0,1.36,0,"fb","pvda",29,10,2017-03-14,-70.48,0,"34.53"
"83","Eerlijke spelregels op de werkvloer  dat is echt heel belangrijk voor de PVDA","social",0,"pvda",0,1.36,0,"fb","pvda",29,10,2017-03-14,-70.48,0,"34.53"
"84","We hebben moeilijke bezuinigingsmaatregelen genomen. Nu staat het land er beter voo","econ",0,"pvda",0,1.36,0,"fb","pvda",8,-30,2017-03-11,-70.48,0,"16"
"85","Hoe haal je het dan in je hoofd om de allerzwaksten geld af te pakken? (RUTTE)","econ",1,"pvda",0,1.36,0,"fb","pvda",8,-30,2017-03-11,-70.48,0,"16"
"86","Het land staat er beter voor. Dat hebben vvd en pvda gedaan","econ",0,"pvda",0,1.36,0,"fb","pvda",8,-30,2017-03-11,-70.48,0,"16"
"87","Zelfs als het lukt om er heel veel banen bij te krijgen  hoe haal je het dan in je hoofd om van die mensen 50 euro te gaan afpakken. Terwijl het nergens voor nodig is.","jobs",1,"pvda",0,1.36,0,"fb","pvda",16,36,2017-03-11,-70.48,0,"40"
"88","Terwijl het geld weggehaald is bij mensen die ieder dubbeltje moeten omdraaien om dat te geven aan mensen die het goed hebben.","econ",1,"pvda",0,1.36,0,"fb","pvda",8,-30,2017-03-11,-70.48,0,"16"
"89","Meneer Roemer wacht tot de onveiligiheid uit het midden-oosten hier naartoe komt, dat lijkt mij niet verstandig.","defence",1,"pvda",0,1.36,0,"fb","pvda",1,-1,2017-03-10,-70.48,0,"11.11"
"90","Op het gebied van gelijke behandeling is er inmiddels veel bereikt maar op een plaats blijft de ongelijkheid hardnekkig: de werkplek. Dat vinden wij niet logisch.","norm",0,"pvda",0,1.36,0,"fb","pvda",1,4,2017-03-08,-70.48,0,"0.75"
"91","Wij strijden door om gelijke beloning na 15 maart te verankeren in de wet","norm",0,"pvda",0,1.36,0,"fb","pvda",1,4,2017-03-08,-70.48,0,"0.75"
"92","Wij hebben het kabinet Rutte-Asscher inderdaad niet gesteund in de keiharde afbraak van de zor","health",1,"sp",1,3.96,0,"fb","sp",32,50,2017-03-14,-11.85,0,"47.05"
"93","Wij hebben het kabinet Rutte-Asscher inderdaad niet gesteund in de keiharde afbraak van de zor","health",0,"sp",1,3.96,0,"fb","sp",32,50,2017-03-14,-11.85,0,"47.05"
"94","Normaal gesproken is de PVDA het met ons eens dat je in moeilijke tijden niet hard moet bezuinignen  maar extra moet investeren.","econ",1,"sp",1,3.96,0,"fb","sp",5,-14,2017-03-14,-11.85,0,"10"
"95","Normaal gesproken is de PVDA het met ons eens dat je in moeilijke tijden niet hard moet bezuinignen  maar extra moet investeren.. En al helemaal niet aan wat belangrijk is voor de mensen: de zorg","health",1,"sp",1,3.96,0,"fb","sp",32,50,2017-03-14,-11.85,0,"47.05"
"96","Want als er hard wordt bezuinigd op zoiets essentieels als de zorg  dan sta ik op  dan grijp ik in en komen we met alternatieven","health",0,"sp",1,3.96,0,"fb","sp",32,50,2017-03-14,-11.85,0,"47.05"
"97","Mensen betrekken bij de toekomst van Europa. D66 zegt 'nee'","eu",1,"sp",1,3.96,0,"fb","sp",5,-22,2017-03-14,-11.85,0,"7.25"
"98","We hebben een keer een referendum gehad over de Europese Grondwet. De bevolking zei nee: D66 zei we doen het toch","eu",1,"sp",1,3.96,0,"fb","sp",5,-22,2017-03-14,-11.85,0,"7.25"
"99","en keer een referendum gehad over de Oekranie . De bevolking zei nee: D66 zei we doen het toch","eu",1,"sp",1,3.96,0,"fb","sp",5,-22,2017-03-14,-11.85,0,"7.25"
"100","ben gevraagd om een referendum bij de invoering van de euro. Referendumpartij d66 zei nee.","eu",1,"sp",1,3.96,0,"fb","sp",5,-22,2017-03-14,-11.85,0,"7.25"
"101","orgen hebben we een historische kans om te breken met de jarenlange VVD-politiek van ieder-voor-zich","norm",1,"sp",1,3.96,0,"fb","sp",2,5,2017-03-14,-11.85,0,"1.5"
"102","Daarom wil de SP een Nationaal ZorgFonds zonder eigen risico. Zodat iedereen de zorg krijgt die hij nodig heeft","health",0,"sp",1,3.96,0,"fb","sp",32,50,2017-03-14,-11.85,0,"47.05"
"103","Steeds vaker worden mensen niet meer aangenomen omdat ze ""te oud"" zijn. Toch verhogen VVD Pvda D66 Groenlinks en CDA de AOW-leeftijd. Zelfs na je 65 moet je door","social",1,"sp",1,3.96,0,"fb","sp",33,-4,2017-03-13,-11.85,0,"39.29"
"104","Een heel aantal partijen zegt wel heel makkelijk dat je nog door kan werken na je 65e tot je 67","social",1,"sp",1,3.96,0,"fb","sp",33,-4,2017-03-13,-11.85,0,"39.29"
"105","de VVD pleit dat langer doorwerken mogelijk is.  We hebben gisteren met de VVD gebeld maar geen reactie","social",1,"sp",1,3.96,0,"fb","sp",33,-4,2017-03-13,-11.85,0,"39.29"
"106","Daarom zegt de SP: Voor iedereen die wil gewwon AOW op 65","social",0,"sp",1,3.96,0,"fb","sp",33,-4,2017-03-13,-11.85,0,"39.29"
"107","En we schaffen die belachelijke sollicitatie plicht voor 65 plussers af.","social",0,"sp",1,3.96,0,"fb","sp",33,-4,2017-03-13,-11.85,0,"39.29"
"108","We moeten de deur dichtgooien voor het rondreizend propagandacircus van 'sultan' Erdogan  aldus SP-leider Emile Roemer.","norm",1,"sp",1,3.96,0,"fb","sp",2,5,2017-03-12,-11.85,0,"1.5"
"109","De SP zegt het al jaren: We zullen vol moeten inzetten op het bestrijden van de beinvloeding door Ankara van Nederlandse burgers.","norm",0,"sp",1,3.96,0,"fb","sp",2,5,2017-03-12,-11.85,0,"1.5"
"110","We kunnen nu na de kaalslag van Rutte kiezen voor de inhaalslag","econ",1,"sp",1,3.96,0,"fb","sp",5,-14,2017-03-11,-11.85,0,"10"
"111","Mensen zijn onnodig gepakt door uw kabinet","econ",1,"sp",1,3.96,0,"fb","sp",5,-14,2017-03-10,-11.85,0,"10"
"112","Daarom voeren wij de strijd voor 10. De strijd voor de verhoging van het minimumloon van 10% en een einde aan de onzekere flutcontracten","social",0,"sp",1,3.96,0,"fb","sp",33,-4,2017-03-10,-11.85,0,"39.29"
"113","Daarom voeren wij de strijd voor 10. De strijd voor de verhoging van het minimumloon van 10% en een einde aan de onzekere flutcontracten","social",0,"sp",1,3.96,0,"fb","sp",33,-4,2017-03-10,-11.85,0,"39.29"
"114","ij hebben de afgelopen weken in heel nederland steun gehad voor onze eis om het wettelijk minimumloon  de uitkering en de lonen te verhogen.","social",0,"sp",1,3.96,0,"fb","sp",33,-4,2017-03-10,-11.85,0,"39.29"
"115","Maar kunnen wel grote acties voor lagere huren en goede zorg georganiseerd worden en kunnen op veel plekken mensen langs bij de SP-hulpdienst voor hulp en advies.","housing",0,"sp",1,3.96,0,"fb","sp",8,7,2017-03-10,-11.85,0,"30.77"
"116","Maar kunnen wel grote acties voor lagere huren en goede zorg georganiseerd worden en kunnen op veel plekken mensen langs bij de SP-hulpdienst voor hulp en advies.","health",0,"sp",1,3.96,0,"fb","sp",32,50,2017-03-10,-11.85,0,"47.05"
"117","ondanks dat PvdA-minister Bussemaker zei de kritiek op het gebrek aan zeggenschap en het doorgeslagen rendementsdenken in het onderwijs serieus te nemen  waren haar oplossingen slechts cosmetisch","edu",1,"sp",1,3.96,0,"fb","sp",1,1,2017-03-09,-11.85,0,"1.3"
"118","Tweede is dat we er inmiddels ook in geslaagd zijn om de westelijke balkan af te sluiten.","imm",0,"vvd",0,2.64,0,"ts","pauwjinek",6,-9,2017-03-14,-38.03,1,"2.46"
"119","Dat afsluiten van de balknaroute is ook laatste jaar gebeurd tijdens ons voorzitterschap","imm",0,"vvd",0,2.64,0,"ts","pauwjinek",6,-9,2017-03-14,-38.03,1,"2.46"
"120","Het lijkt mij een heel slecht idee als we straks een rechts kabinet zouden hebben","gov",0,"gl",1,2.63,0,"ts","pauwjinek",1,1,2017-03-14,317.6,1,"2.44"
"121","Je ziet dat GL nu een sleutelrol kan spelen in die formatie","gov",0,"gl",1,2.63,0,"ts","pauwjinek",1,1,2017-03-14,317.6,1,"2.44"
"122","Ik hoop met Alexander samen te werken om zo'n links progressief kabinet mogelijk te maken","gov",0,"gl",1,2.63,0,"ts","pauwjinek",1,1,2017-03-14,317.6,1,"2.44"
"123","De PVDA is gaan regeren met de VVD","gov",1,"sp",1,3.96,0,"ts","pauwjinek",1,1,2017-03-14,-11.85,1,"6.67"
"124","Met name voor die mensen die hun hoop op links hadden gevestigd  is het gewoon achtergebleven","gov",1,"sp",1,3.96,0,"ts","pauwjinek",1,1,2017-03-14,-11.85,1,"6.67"
"125","Dan zie je de enorme bezuinigingen en de enorme werkeloosheid (PVDA schuld)","econ",1,"sp",1,3.96,0,"ts","pauwjinek",5,-14,2017-03-14,-11.85,1,"10"
"126","Dan zie je de enorme bezuinigingen en de enorme werkeloosheid (PVDA schuld)","jobs",1,"sp",1,3.96,0,"ts","pauwjinek",9,11,2017-03-14,-11.85,1,"22.5"
"127","Wij moeten ons bewijzen.  daarom zijn we ook zo stelling dat dit niet gaat met de vvd","gov",1,"sp",1,3.96,0,"ts","pauwjinek",1,1,2017-03-14,-11.85,1,"6.67"
"128","Wij moeten ons bewijzen.  daarom zijn we ook zo stelling dat dit niet gaat met de vvd","gov",0,"sp",1,3.96,0,"ts","pauwjinek",1,1,2017-03-14,-11.85,1,"6.67"
"129","Als we alle drie op zouden trekken en je zou de VVD erbij zetten  dan zal je zien dat we op zoveel terreinen moeten inleveren weer","gov",1,"sp",1,3.96,0,"ts","pauwjinek",1,1,2017-03-14,-11.85,1,"6.67"
"130","Misschien met het CDA erbij.  tot nu toe zegt Buma alleen maar nee","gov",1,"pvda",0,1.36,0,"ts","pauwjinek",0,0,2017-03-14,-70.48,1,"0"
"131","Nou (anders) dat kan niet met het beleid van de VVD","gov",1,"sp",1,3.96,0,"ts","pauwjinek",1,1,2017-03-14,-11.85,1,"6.67"
"132","dus wil ik in het kabinet zitten zonder de VVD","gov",1,"sp",1,3.96,0,"ts","pauwjinek",1,1,2017-03-14,-11.85,1,"6.67"
"133","Bij mij gaat de deur wel dicht","gov",0,"sp",1,3.96,0,"ts","pauwjinek",1,1,2017-03-14,-11.85,1,"6.67"
"134","ik ga niet in een rechtse polonaise meelopen om het beleid van het afgelopen jaren te doen","gov",0,"sp",1,3.96,0,"ts","pauwjinek",1,1,2017-03-14,-11.85,1,"6.67"
